DATE_ONLY,TIME,CAMPUS,TARGET ROOM,ROOM EXAM CAPACITY,TOTAL_STUDENTS,COURSES MERGED,UTILIZATION
2025-12-16,07g00,CS1,B4-501,42,17,"EE5013(11), ME5003(4), ME2113(2)",0.40476190476190477
2025-12-16,07g00,CS2,H2-201,82,82,CO3007(82),1.0
2025-12-16,07g00,CS2,H2-401,82,82,"CO3007(48), TR4051(20), MA4119(12), GE1021(2)",1.0
2025-12-16,07g00,CS2,H2-406,82,82,CO3007(82),1.0
2025-12-16,07g00,CS2,H2-306,82,6,GE1021(6),0.07317073170731707
2025-12-16,09g30,CS1,B4-505,63,63,MT1005(63),1.0
2025-12-16,09g30,CS1,B4-406,57,57,LA2017(57),1.0
2025-12-16,09g30,CS1,C6-102,50,50,"LA2017(40), MT1005(10)",1.0
2025-12-16,09g30,CS1,C6-103,50,50,MT1005(50),1.0
2025-12-16,09g30,CS1,B1-208,44,36,"CO3059(20), MT1005(16)",0.8181818181818182
2025-12-16,09g30,CS2,H2-201,82,82,MT1005(82),1.0
2025-12-16,09g30,CS2,H2-206,82,82,MT1005(82),1.0
2025-12-16,09g30,CS2,H2-301,82,82,MT1005(82),1.0
2025-12-16,09g30,CS2,H2-306,82,82,MT1005(82),1.0
2025-12-16,09g30,CS2,H2-401,82,82,MT1005(82),1.0
2025-12-16,09g30,CS2,H2-406,82,82,MT1005(82),1.0
2025-12-16,09g30,CS2,H6-811,79,79,"MT1005(63), CO3059(16)",1.0
2025-12-16,09g30,CS2,H6-308,76,76,"CO3059(45), CH4139(30), EE3121(1)",1.0
2025-12-16,09g30,CS2,H3-506,75,26,EE3121(26),0.3466666666666667
2025-12-16,13g00,CS1,B4-505,63,63,SP1033(63),1.0
2025-12-16,13g00,CS1,B4-406,57,57,SP1033(57),1.0
2025-12-16,13g00,CS1,C6-102,50,50,SP1033(50),1.0
2025-12-16,13g00,CS1,C6-103,50,50,SP1033(50),1.0
2025-12-16,13g00,CS1,B1-208,44,44,SP1033(44),1.0
2025-12-16,13g00,CS1,B1-306,44,44,SP1033(44),1.0
2025-12-16,13g00,CS1,B4-305,42,42,SP1033(42),1.0
2025-12-16,13g00,CS1,B4-306,42,42,CO3017(42),1.0
2025-12-16,13g00,CS1,B4-501,42,42,SP1033(42),1.0
2025-12-16,13g00,CS1,B6-306,42,42,"CO3017(30), SP1033(12)",1.0
2025-12-16,13g00,CS1,C4-502,42,42,SP1033(42),1.0
2025-12-16,13g00,CS1,C5-303,42,42,SP1033(42),1.0
2025-12-16,13g00,CS1,C5-401,42,6,SP1033(6),0.14285714285714285
2025-12-16,13g00,CS2,H2-201,82,82,SP1033(82),1.0
2025-12-16,13g00,CS2,H2-206,82,82,SP1033(82),1.0
2025-12-16,13g00,CS2,H2-301,82,82,SP1033(82),1.0
2025-12-16,13g00,CS2,H2-306,82,82,SP1033(82),1.0
2025-12-16,13g00,CS2,H2-401,82,82,SP1033(82),1.0
2025-12-16,13g00,CS2,H2-406,82,82,SP1033(82),1.0
2025-12-16,13g00,CS2,H6-811,79,79,SP1033(79),1.0
2025-12-16,13g00,CS2,H6-308,76,76,SP1033(76),1.0
2025-12-16,13g00,CS2,H3-201,75,75,CI2145(75),1.0
2025-12-16,13g00,CS2,H3-301,75,75,CO3017(75),1.0
2025-12-16,13g00,CS2,H3-306,75,75,SP1033(75),1.0
2025-12-16,13g00,CS2,H3-401,75,75,SP1033(75),1.0
2025-12-16,13g00,CS2,H3-406,75,75,SP1033(75),1.0
2025-12-16,13g00,CS2,H3-501,75,75,SP1033(75),1.0
2025-12-16,13g00,CS2,H3-506,75,75,SP1033(75),1.0
2025-12-16,13g00,CS2,H1-101,73,73,"ME4533(61), EE3085(12)",1.0
2025-12-16,13g00,CS2,H1-104,73,73,"EE3085(48), SP1033(25)",1.0
2025-12-16,13g00,CS2,H1-307,71,71,"CO3017(44), SP1033(21), CI2145(6)",1.0
2025-12-16,13g00,CS2,H2-207,71,6,CI2145(6),0.08450704225352113
2025-12-16,15g30,CS1,B4-505,63,63,ME4217(63),1.0
2025-12-16,15g30,CS1,B4-406,57,57,"CH3015(48), TR4085(9)",1.0
