DATE_ONLY,TIME,CAMPUS,ROOM ID,ROOM EXAM CAPACITY,COURSE ID,ALLOCATED STUDENTS
2025-12-15,07g00,CS2,H2-406,82,MT2013,82
2025-12-15,07g00,CS2,H3-201,75,MT2013,75
2025-12-15,07g00,CS2,H3-301,75,MT2013,75
2025-12-15,07g00,CS2,H3-306,75,MT2013,75
2025-12-15,07g00,CS2,H3-401,75,MT2013,75
2025-12-15,07g00,CS2,H3-406,75,MT2013,75
2025-12-15,07g00,CS2,H3-501,75,MT2013,75
2025-12-15,07g00,CS2,H3-506,75,MT2013,75
2025-12-15,07g00,CS2,H3-606,63,MT2013,63
2025-12-15,07g00,CS2,H6-113,68,MT2013,68
2025-12-15,07g00,CS2,H6-201,63,MT2013,63
2025-12-15,07g00,CS2,H6-205,62,EE3063,12
2025-12-15,07g00,CS2,H6-205,62,IM3055,50
2025-12-15,07g00,CS2,H6-208,62,MT2013,62
2025-12-15,07g00,CS2,H6-211,66,MT2013,66
2025-12-15,07g00,CS2,H6-305,68,MT2013,68
2025-12-15,07g00,CS2,H6-308,76,MT2013,76
2025-12-15,07g00,CS2,H6-311,71,MT2013,71
2025-12-15,07g00,CS2,H6-405,63,MT2013,63
2025-12-15,07g00,CS2,H6-412,65,MT2013,65
2025-12-15,07g00,CS2,H6-516,60,CO3057,2
2025-12-15,07g00,CS2,H6-516,60,EE3063,32
2025-12-15,07g00,CS2,H6-516,60,MT2013,14
2025-12-15,07g00,CS2,H6-802,63,MT2013,63
2025-12-15,07g00,CS2,H6-810,63,MT2013,63
2025-12-15,07g00,CS2,H6-811,79,MT2013,79
2025-12-15,09g30,CS1,B1-208,44,IM1029,44
2025-12-15,09g30,CS1,B1-306,44,EE2405,44
2025-12-15,09g30,CS1,B4-305,42,MA3145,7
2025-12-15,09g30,CS1,B4-305,42,MA4185,7
2025-12-15,09g30,CS1,B4-306,42,CH3399,8
2025-12-15,09g30,CS1,B4-306,42,EE2405,12
2025-12-15,09g30,CS1,B4-306,42,IM3101,13
2025-12-15,09g30,CS1,B4-306,42,MA3153,9
2025-12-15,09g30,CS1,B4-406,57,EE2405,57
2025-12-15,09g30,CS1,B4-501,42,AS3055,17
2025-12-15,09g30,CS1,B4-501,42,CH3399,7
2025-12-15,09g30,CS1,B4-501,42,MA2035,18
2025-12-15,09g30,CS1,B4-505,63,EE2405,63
2025-12-15,09g30,CS1,C4-502,42,IM3101,14
2025-12-15,09g30,CS1,C4-502,42,TR4073,28
2025-12-15,09g30,CS1,C5-303,42,IM1029,26
2025-12-15,09g30,CS1,C5-303,42,MA3145,16
2025-12-15,09g30,CS1,C6-102,50,EE2405,50
2025-12-15,09g30,CS1,C6-103,50,IM1029,50
2025-12-15,09g30,CS2,H2-201,82,IM1029,82
2025-12-15,09g30,CS2,H2-306,82,CH3399,8
2025-12-15,09g30,CS2,H2-306,82,CI2043,3
2025-12-15,09g30,CS2,H2-306,82,CI3245,13
2025-12-15,09g30,CS2,H2-306,82,EN3025,2
2025-12-15,09g30,CS2,H2-306,82,GE3017,14
2025-12-15,09g30,CS2,H2-306,82,IM1029,15
2025-12-15,09g30,CS2,H2-306,82,IU3017,13
2025-12-15,09g30,CS2,H2-306,82,MA3031,13
2025-12-15,09g30,CS2,H2-401,82,GE3017,31
2025-12-15,09g30,CS2,H2-401,82,IM4035,51
2025-12-15,09g30,CS2,H2-406,82,IM1029,82
2025-12-15,13g00,CS1,B1-208,44,CI4161,14
2025-12-15,13g00,CS1,B1-208,44,ME4137,13
2025-12-15,13g00,CS1,B4-406,57,IM1021,57
2025-12-15,13g00,CS1,B4-505,63,IM1021,63
2025-12-15,13g00,CS1,C6-102,50,CH3347,20
2025-12-15,13g00,CS1,C6-102,50,IM1021,26
2025-12-15,13g00,CS1,C6-102,50,ME4137,4
2025-12-15,13g00,CS1,C6-103,50,CH2035,34
2025-12-15,13g00,CS1,C6-103,50,CI4161,16
2025-12-15,13g00,CS2,H2-201,82,IM1021,82
2025-12-15,13g00,CS2,H2-206,82,IM1021,82
2025-12-15,13g00,CS2,H2-301,82,IM1021,82
2025-12-15,13g00,CS2,H2-306,82,IM1021,82
2025-12-15,13g00,CS2,H2-401,82,IM1021,82
2025-12-15,13g00,CS2,H2-406,82,IM1021,82
2025-12-15,13g00,CS2,H3-401,75,CI3243,4
2025-12-15,13g00,CS2,H3-401,75,TR2033,3
2025-12-15,13g00,CS2,H3-406,75,CH3347,34
2025-12-15,13g00,CS2,H3-406,75,ME4137,31
2025-12-15,13g00,CS2,H3-406,75,TR2033,10
2025-12-15,13g00,CS2,H3-501,75,CH2035,56
2025-12-15,13g00,CS2,H3-501,75,CH3347,19
2025-12-15,13g00,CS2,H3-506,75,CH3347,10
2025-12-15,13g00,CS2,H3-506,75,IM1017,65
2025-12-15,13g00,CS2,H6-308,76,CH3347,6
2025-12-15,13g00,CS2,H6-308,76,IM1021,70
2025-12-15,13g00,CS2,H6-811,79,CI3243,79
2025-12-15,15g30,CS1,B4-505,63,CO3011,54
2025-12-15,15g30,CS2,H2-201,82,CO3011,82
2025-12-15,15g30,CS2,H2-406,82,CO3011,37
2025-12-16,07g00,CS1,B1-208,44,CO3007,44
2025-12-16,07g00,CS1,B1-306,44,ME2113,5
2025-12-16,07g00,CS1,B1-306,44,MT2007,39
2025-12-16,07g00,CS1,B4-406,57,MT2007,57
2025-12-16,07g00,CS1,B4-501,42,EE5013,11
2025-12-16,07g00,CS1,B4-501,42,ME2113,2
2025-12-16,07g00,CS1,B4-501,42,ME5003,4
2025-12-16,07g00,CS1,B4-505,63,MT2007,63
2025-12-16,07g00,CS1,C4-502,42,CI2135,22
2025-12-16,07g00,CS1,C4-502,42,ME2113,20
2025-12-16,07g00,CS1,C5-303,42,CO3007,14
2025-12-16,07g00,CS1,C5-303,42,ME5003,10
2025-12-16,07g00,CS1,C5-303,42,TR5005,18
2025-12-16,07g00,CS1,C6-102,50,ME2113,50
2025-12-16,07g00,CS1,C6-103,50,MT2007,50
2025-12-16,07g00,CS2,H2-201,82,CO3007,82
2025-12-16,07g00,CS2,H2-306,82,GE1021,6
2025-12-16,07g00,CS2,H2-401,82,CO3007,48
2025-12-16,07g00,CS2,H2-401,82,GE1021,2
2025-12-16,07g00,CS2,H2-401,82,MA4119,12
2025-12-16,07g00,CS2,H2-401,82,TR4051,20
2025-12-16,07g00,CS2,H2-406,82,CO3007,82
2025-12-16,09g30,CS1,B1-208,44,CO3059,20
2025-12-16,09g30,CS1,B1-208,44,MT1005,16
2025-12-16,09g30,CS1,B4-406,57,LA2017,57
2025-12-16,09g30,CS1,B4-505,63,MT1005,63
2025-12-16,09g30,CS1,C6-102,50,LA2017,40
2025-12-16,09g30,CS1,C6-102,50,MT1005,10
2025-12-16,09g30,CS1,C6-103,50,MT1005,50
2025-12-16,09g30,CS2,H2-201,82,MT1005,82
2025-12-16,09g30,CS2,H2-206,82,MT1005,82
2025-12-16,09g30,CS2,H2-301,82,MT1005,82
2025-12-16,09g30,CS2,H2-306,82,MT1005,82
2025-12-16,09g30,CS2,H2-401,82,MT1005,82
2025-12-16,09g30,CS2,H2-406,82,MT1005,82
2025-12-16,09g30,CS2,H3-506,75,EE3121,26
2025-12-16,09g30,CS2,H6-308,76,CH4139,30
2025-12-16,09g30,CS2,H6-308,76,CO3059,45
2025-12-16,09g30,CS2,H6-308,76,EE3121,1
2025-12-16,09g30,CS2,H6-811,79,CO3059,16
2025-12-16,09g30,CS2,H6-811,79,MT1005,63
2025-12-16,13g00,CS1,B1-208,44,SP1033,44
2025-12-16,13g00,CS1,B1-306,44,SP1033,44
2025-12-16,13g00,CS1,B4-305,42,SP1033,42
2025-12-16,13g00,CS1,B4-306,42,CO3017,42
2025-12-16,13g00,CS1,B4-406,57,SP1033,57
2025-12-16,13g00,CS1,B4-501,42,SP1033,42
2025-12-16,13g00,CS1,B4-505,63,SP1033,63
2025-12-16,13g00,CS1,B6-306,42,CO3017,30
2025-12-16,13g00,CS1,B6-306,42,SP1033,12
2025-12-16,13g00,CS1,C4-502,42,SP1033,42
2025-12-16,13g00,CS1,C5-303,42,SP1033,42
2025-12-16,13g00,CS1,C5-401,42,SP1033,6
2025-12-16,13g00,CS1,C6-102,50,SP1033,50
2025-12-16,13g00,CS1,C6-103,50,SP1033,50
2025-12-16,13g00,CS2,H1-101,73,EE3085,12
2025-12-16,13g00,CS2,H1-101,73,ME4533,61
2025-12-16,13g00,CS2,H1-104,73,EE3085,48
2025-12-16,13g00,CS2,H1-104,73,SP1033,25
2025-12-16,13g00,CS2,H1-307,71,CI2145,6
2025-12-16,13g00,CS2,H1-307,71,CO3017,44
2025-12-16,13g00,CS2,H1-307,71,SP1033,21
2025-12-16,13g00,CS2,H2-201,82,SP1033,82
2025-12-16,13g00,CS2,H2-206,82,SP1033,82
2025-12-16,13g00,CS2,H2-207,71,CI2145,6
2025-12-16,13g00,CS2,H2-301,82,SP1033,82
2025-12-16,13g00,CS2,H2-306,82,SP1033,82
2025-12-16,13g00,CS2,H2-401,82,SP1033,82
2025-12-16,13g00,CS2,H2-406,82,SP1033,82
2025-12-16,13g00,CS2,H3-201,75,CI2145,75
2025-12-16,13g00,CS2,H3-301,75,CO3017,75
2025-12-16,13g00,CS2,H3-306,75,SP1033,75
2025-12-16,13g00,CS2,H3-401,75,SP1033,75
2025-12-16,13g00,CS2,H3-406,75,SP1033,75
2025-12-16,13g00,CS2,H3-501,75,SP1033,75
2025-12-16,13g00,CS2,H3-506,75,SP1033,75
2025-12-16,13g00,CS2,H6-308,76,SP1033,76
2025-12-16,13g00,CS2,H6-811,79,SP1033,79
2025-12-16,15g30,CS1,B4-406,57,CH3015,48
2025-12-16,15g30,CS1,B4-406,57,TR4085,9
2025-12-16,15g30,CS1,B4-505,63,ME4217,63
2025-12-16,15g30,CS1,C6-102,50,EE3009,6
2025-12-16,15g30,CS1,C6-102,50,TR4085,23
2025-12-16,15g30,CS1,C6-103,50,ME4217,40
2025-12-16,15g30,CS1,C6-103,50,TR4085,10
2025-12-16,15g30,CS2,H2-201,82,TR4085,82
2025-12-16,15g30,CS2,H2-206,82,CH3015,36
2025-12-16,15g30,CS2,H2-206,82,EE3007,27
2025-12-16,15g30,CS2,H2-206,82,ME4217,19
2025-12-16,15g30,CS2,H2-301,82,CH3015,7
2025-12-16,15g30,CS2,H2-301,82,TR4085,75
2025-12-16,15g30,CS2,H2-306,82,EE3009,81
2025-12-16,15g30,CS2,H2-306,82,TR4085,1
2025-12-16,15g30,CS2,H2-401,82,ME4217,82
2025-12-16,15g30,CS2,H2-406,82,CH3015,82
2025-12-16,15g30,CS2,H6-811,79,ME4217,2
2025-12-17,07g00,CS1,B1-208,44,SP1007,44
2025-12-17,07g00,CS1,B1-306,44,SP1007,44
2025-12-17,07g00,CS1,B1-311,42,TR4089,42
2025-12-17,07g00,CS1,B4-305,42,EE3091,42
2025-12-17,07g00,CS1,B4-306,42,SP1007,42
2025-12-17,07g00,CS1,B4-406,57,SP1007,57
2025-12-17,07g00,CS1,B4-501,42,PH2005,42
2025-12-17,07g00,CS1,B4-502,42,SP1007,42
2025-12-17,07g00,CS1,B4-505,63,SP1007,63
2025-12-17,07g00,CS1,B6-306,42,PH2005,42
2025-12-17,07g00,CS1,C4-301,42,EE3069,30
2025-12-17,07g00,CS1,C4-301,42,TR4081,12
2025-12-17,07g00,CS1,C4-304,42,IM4019,5
2025-12-17,07g00,CS1,C4-304,42,MA4141,11
2025-12-17,07g00,CS1,C4-304,42,MA4189,5
2025-12-17,07g00,CS1,C4-304,42,PH2005,10
2025-12-17,07g00,CS1,C4-304,42,TR4047,11
2025-12-17,07g00,CS1,C4-402,42,ME5005,1
2025-12-17,07g00,CS1,C4-402,42,TR4089,3
2025-12-17,07g00,CS1,C4-403,42,CO3037,28
2025-12-17,07g00,CS1,C4-403,42,TR4047,14
2025-12-17,07g00,CS1,C4-502,42,PH2005,42
2025-12-17,07g00,CS1,C5-303,42,SP1007,42
2025-12-17,07g00,CS1,C5-401,42,SP1007,42
2025-12-17,07g00,CS1,C5-403,42,CO3037,42
2025-12-17,07g00,CS1,C5-502,42,EE3091,42
2025-12-17,07g00,CS1,C5-503,42,PH2005,42
2025-12-17,07g00,CS1,C6-102,50,SP1007,50
2025-12-17,07g00,CS1,C6-103,50,SP1007,50
2025-12-17,07g00,CS1,C6-401,42,EN3209,14
2025-12-17,07g00,CS1,C6-401,42,ME5005,13
2025-12-17,07g00,CS1,C6-401,42,TR4081,15
2025-12-17,07g00,CS1,C6-402,42,EE3043,15
2025-12-17,07g00,CS1,C6-402,42,EE3091,17
2025-12-17,07g00,CS1,C6-402,42,IM4019,10
2025-12-17,07g00,CS1,C6-403,42,EE4451,18
2025-12-17,07g00,CS1,C6-403,42,MA2015,21
2025-12-17,07g00,CS1,C6-403,42,TR4081,3
2025-12-17,07g00,CS2,H1-101,73,SP1007,73
2025-12-17,07g00,CS2,H1-104,73,SP1007,73
2025-12-17,07g00,CS2,H1-204,68,TR4089,68
2025-12-17,07g00,CS2,H1-307,71,SP1007,71
2025-12-17,07g00,CS2,H1-401,66,EE3043,66
2025-12-17,07g00,CS2,H1-404,66,CI3241,11
2025-12-17,07g00,CS2,H1-404,66,EE3069,55
2025-12-17,07g00,CS2,H1-405,63,CI3067,5
2025-12-17,07g00,CS2,H1-405,63,EE3043,5
2025-12-17,07g00,CS2,H1-405,63,ME3171,6
2025-12-17,07g00,CS2,H2-201,82,SP1007,82
2025-12-17,07g00,CS2,H2-206,82,SP1007,82
2025-12-17,07g00,CS2,H2-207,71,SP1007,71
2025-12-17,07g00,CS2,H2-301,82,SP1007,82
2025-12-17,07g00,CS2,H2-306,82,SP1007,82
2025-12-17,07g00,CS2,H2-401,82,SP1007,82
2025-12-17,07g00,CS2,H2-406,82,SP1007,82
2025-12-17,07g00,CS2,H3-201,75,SP1007,75
2025-12-17,07g00,CS2,H3-301,75,SP1007,75
2025-12-17,07g00,CS2,H3-306,75,SP1007,75
2025-12-17,07g00,CS2,H3-401,75,SP1007,75
2025-12-17,07g00,CS2,H3-406,75,SP1007,75
2025-12-17,07g00,CS2,H3-501,75,SP1007,75
2025-12-17,07g00,CS2,H3-506,75,SP1007,75
2025-12-17,07g00,CS2,H3-606,63,CH3321,19
2025-12-17,07g00,CS2,H3-606,63,CH3429,12
2025-12-17,07g00,CS2,H3-606,63,EE3043,4
2025-12-17,07g00,CS2,H3-606,63,IM4019,18
2025-12-17,07g00,CS2,H3-606,63,MA3011,10
2025-12-17,07g00,CS2,H6-113,68,CI3241,68
2025-12-17,07g00,CS2,H6-201,63,CI3067,15
2025-12-17,07g00,CS2,H6-201,63,MA2015,22
2025-12-17,07g00,CS2,H6-201,63,TR4089,26
2025-12-17,07g00,CS2,H6-211,66,SP1007,60
2025-12-17,07g00,CS2,H6-211,66,TR3017,6
2025-12-17,07g00,CS2,H6-305,68,SP1007,68
2025-12-17,07g00,CS2,H6-308,76,SP1007,76
2025-12-17,07g00,CS2,H6-311,71,TR4089,71
2025-12-17,07g00,CS2,H6-405,63,CI3067,6
2025-12-17,07g00,CS2,H6-405,63,CI3241,28
2025-12-17,07g00,CS2,H6-405,63,MA4087,29
2025-12-17,07g00,CS2,H6-412,65,CI3241,14
2025-12-17,07g00,CS2,H6-412,65,TR3017,51
2025-12-17,07g00,CS2,H6-802,63,IU2011,36
2025-12-17,07g00,CS2,H6-802,63,ME3171,27
2025-12-17,07g00,CS2,H6-810,63,CH3321,21
2025-12-17,07g00,CS2,H6-810,63,EN3209,42
2025-12-17,07g00,CS2,H6-811,79,SP1007,79
2025-12-17,13g00,CS1,B1-208,44,EE2417,44
2025-12-17,13g00,CS1,B1-212,38,ME2123,11
2025-12-17,13g00,CS1,B1-212,38,TR3143,27
2025-12-17,13g00,CS1,B1-213,38,CH2013,23
2025-12-17,13g00,CS1,B1-213,38,ME3011,15
2025-12-17,13g00,CS1,B1-305,38,CO3027,36
2025-12-17,13g00,CS1,B1-305,38,TR3143,2
2025-12-17,13g00,CS1,B1-306,44,CO2003,44
2025-12-17,13g00,CS1,B1-308,38,CI1003,13
2025-12-17,13g00,CS1,B1-308,38,CO2003,25
2025-12-17,13g00,CS1,B1-311,42,CO1003,42
2025-12-17,13g00,CS1,B10-203,37,CI1003,7
2025-12-17,13g00,CS1,B10-203,37,IM3087,15
2025-12-17,13g00,CS1,B10-203,37,ME2123,15
2025-12-17,13g00,CS1,B4-305,42,CH2013,42
2025-12-17,13g00,CS1,B4-306,42,CO2003,42
2025-12-17,13g00,CS1,B4-406,57,CO2003,57
2025-12-17,13g00,CS1,B4-501,42,EE2417,42
2025-12-17,13g00,CS1,B4-502,42,EE2417,42
2025-12-17,13g00,CS1,B4-505,63,CO2003,63
2025-12-17,13g00,CS1,B6-306,42,CO1003,42
2025-12-17,13g00,CS1,B8-301,35,CI2095,10
2025-12-17,13g00,CS1,B8-301,35,CO1003,10
2025-12-17,13g00,CS1,B8-301,35,EE2417,9
2025-12-17,13g00,CS1,B8-301,35,ME3011,6
2025-12-17,13g00,CS1,B8-303,33,CI1003,4
2025-12-17,13g00,CS1,C4-301,42,ME2123,42
2025-12-17,13g00,CS1,C4-304,42,CO1003,42
2025-12-17,13g00,CS1,C4-402,42,EE2417,42
2025-12-17,13g00,CS1,C4-403,42,CO2003,42
2025-12-17,13g00,CS1,C4-502,42,CH2013,42
2025-12-17,13g00,CS1,C5-303,42,CO1003,42
2025-12-17,13g00,CS1,C5-401,42,EE2417,42
2025-12-17,13g00,CS1,C5-403,42,CO2003,42
2025-12-17,13g00,CS1,C5-502,42,CH2013,42
2025-12-17,13g00,CS1,C5-503,42,CI2095,42
2025-12-17,13g00,CS1,C6-102,50,CH2013,50
2025-12-17,13g00,CS1,C6-103,50,CO2003,50
2025-12-17,13g00,CS1,C6-401,42,CI2095,42
2025-12-17,13g00,CS1,C6-402,42,IM3087,42
2025-12-17,13g00,CS1,C6-403,42,CH2013,42
2025-12-17,13g00,CS2,H1-101,73,IM3087,73
2025-12-17,13g00,CS2,H1-104,73,CH2013,73
2025-12-17,13g00,CS2,H1-204,68,EE1007,68
2025-12-17,13g00,CS2,H1-307,71,CO1003,71
2025-12-17,13g00,CS2,H1-401,66,CI1003,66
2025-12-17,13g00,CS2,H1-404,66,ME2123,66
2025-12-17,13g00,CS2,H1-405,63,CI2095,35
2025-12-17,13g00,CS2,H1-405,63,CO2003,28
2025-12-17,13g00,CS2,H2-201,82,CI2095,82
2025-12-17,13g00,CS2,H2-202,62,CH2013,10
2025-12-17,13g00,CS2,H2-202,62,EE3075,6
2025-12-17,13g00,CS2,H2-202,62,ME2123,2
2025-12-17,13g00,CS2,H2-202,62,TR3143,12
2025-12-17,13g00,CS2,H2-206,82,CI2095,82
2025-12-17,13g00,CS2,H2-207,71,CO3027,71
2025-12-17,13g00,CS2,H2-301,82,CO2003,82
2025-12-17,13g00,CS2,H2-306,82,CO1003,82
2025-12-17,13g00,CS2,H2-401,82,CI2095,82
2025-12-17,13g00,CS2,H2-406,82,CO2003,82
2025-12-17,13g00,CS2,H3-201,75,ME2123,75
2025-12-17,13g00,CS2,H3-301,75,CO2003,75
2025-12-17,13g00,CS2,H3-306,75,TR3143,75
2025-12-17,13g00,CS2,H3-401,75,CI2095,75
2025-12-17,13g00,CS2,H3-406,75,CO1003,75
2025-12-17,13g00,CS2,H3-501,75,CH2013,75
2025-12-17,13g00,CS2,H3-506,75,IM3087,75
2025-12-17,13g00,CS2,H3-606,63,ME3011,39
2025-12-17,13g00,CS2,H3-606,63,TR3143,24
2025-12-17,13g00,CS2,H6-113,68,CO2003,68
2025-12-17,13g00,CS2,H6-201,63,CI2095,13
2025-12-17,13g00,CS2,H6-201,63,CO3027,50
2025-12-17,13g00,CS2,H6-208,62,CI1003,15
2025-12-17,13g00,CS2,H6-208,62,EE1007,19
2025-12-17,13g00,CS2,H6-208,62,IM3087,15
2025-12-17,13g00,CS2,H6-208,62,ME2123,13
2025-12-17,13g00,CS2,H6-211,66,IM3087,66
2025-12-17,13g00,CS2,H6-305,68,TR3143,68
2025-12-17,13g00,CS2,H6-308,76,CO2003,76
2025-12-17,13g00,CS2,H6-311,71,CI2095,71
2025-12-17,13g00,CS2,H6-405,63,CO1003,51
2025-12-17,13g00,CS2,H6-405,63,ME3011,12
2025-12-17,13g00,CS2,H6-412,65,CH2013,65
2025-12-17,13g00,CS2,H6-802,63,EE3167,61
2025-12-17,13g00,CS2,H6-802,63,ME3011,2
2025-12-17,13g00,CS2,H6-810,63,EE3075,63
2025-12-17,13g00,CS2,H6-811,79,CO1003,79
2025-12-17,15g30,CS1,B4-505,63,CH2045,35
2025-12-17,15g30,CS2,H2-201,82,CH2045,48
2025-12-18,07g00,CS1,B1-208,44,SP1039,44
2025-12-18,07g00,CS1,B1-306,44,SP1039,44
2025-12-18,07g00,CS1,B4-305,42,ME1021,29
2025-12-18,07g00,CS1,B4-305,42,SP1039,13
2025-12-18,07g00,CS1,B4-306,42,SP1039,42
2025-12-18,07g00,CS1,B4-406,57,SP1039,57
2025-12-18,07g00,CS1,B4-501,42,SP1039,42
2025-12-18,07g00,CS1,B4-505,63,SP1039,63
2025-12-18,07g00,CS1,B6-306,42,CI4193,16
2025-12-18,07g00,CS1,B6-306,42,EE5015,4
2025-12-18,07g00,CS1,B6-306,42,MA5023,22
2025-12-18,07g00,CS1,C4-502,42,SP1039,42
2025-12-18,07g00,CS1,C5-303,42,SP1039,42
2025-12-18,07g00,CS1,C5-401,42,EE5015,10
2025-12-18,07g00,CS1,C5-401,42,LA1027,4
2025-12-18,07g00,CS1,C5-401,42,SP1039,11
2025-12-18,07g00,CS1,C6-102,50,SP1039,50
2025-12-18,07g00,CS1,C6-103,50,SP1039,50
2025-12-18,07g00,CS2,H1-101,73,SP1039,73
2025-12-18,07g00,CS2,H1-104,73,GE1027,73
2025-12-18,07g00,CS2,H1-307,71,CI2159,71
2025-12-18,07g00,CS2,H2-201,82,SP1039,82
2025-12-18,07g00,CS2,H2-206,82,SP1039,82
2025-12-18,07g00,CS2,H2-207,71,SP1039,71
2025-12-18,07g00,CS2,H2-301,82,SP1039,82
2025-12-18,07g00,CS2,H2-306,82,SP1039,82
2025-12-18,07g00,CS2,H2-401,82,SP1039,82
2025-12-18,07g00,CS2,H2-406,82,SP1039,82
2025-12-18,07g00,CS2,H3-201,75,SP1039,75
2025-12-18,07g00,CS2,H3-301,75,SP1039,75
2025-12-18,07g00,CS2,H3-306,75,SP1039,75
2025-12-18,07g00,CS2,H3-401,75,SP1039,75
2025-12-18,07g00,CS2,H3-406,75,SP1039,75
2025-12-18,07g00,CS2,H3-501,75,SP1039,75
2025-12-18,07g00,CS2,H3-506,75,SP1039,75
2025-12-18,07g00,CS2,H6-113,68,CI2159,12
2025-12-18,07g00,CS2,H6-113,68,GE1027,25
2025-12-18,07g00,CS2,H6-113,68,ME4083,22
2025-12-18,07g00,CS2,H6-305,68,GE1027,3
2025-12-18,07g00,CS2,H6-305,68,IU4021,30
2025-12-18,07g00,CS2,H6-305,68,ME2059,35
2025-12-18,07g00,CS2,H6-308,76,SP1039,76
2025-12-18,07g00,CS2,H6-311,71,IM3035,61
2025-12-18,07g00,CS2,H6-311,71,ME2059,10
2025-12-18,07g00,CS2,H6-811,79,SP1039,79
2025-12-18,09g30,CS1,B4-406,57,IM1033,57
2025-12-18,09g30,CS1,B4-505,63,IM1033,63
2025-12-18,09g30,CS1,C6-103,50,IM1033,8
2025-12-18,09g30,CS1,C6-103,50,LA3019,1
2025-12-18,09g30,CS2,H2-201,82,IM1033,82
2025-12-18,09g30,CS2,H2-306,82,IM1033,5
2025-12-18,09g30,CS2,H2-306,82,PH1005,13
2025-12-18,09g30,CS2,H2-401,82,IM1033,82
2025-12-18,09g30,CS2,H2-406,82,PH1005,82
2025-12-18,13g00,CS1,B1-208,44,CO2007,44
2025-12-18,13g00,CS1,B1-212,38,AS2059,22
2025-12-18,13g00,CS1,B1-212,38,CH3327,16
2025-12-18,13g00,CS1,B1-213,38,CH3327,4
2025-12-18,13g00,CS1,B1-213,38,EE2401,12
2025-12-18,13g00,CS1,B1-213,38,ME3009,15
2025-12-18,13g00,CS1,B1-213,38,ME4021,7
2025-12-18,13g00,CS1,B1-305,38,ME3009,10
2025-12-18,13g00,CS1,B1-305,38,TR1003,28
2025-12-18,13g00,CS1,B1-306,44,EE2033,44
2025-12-18,13g00,CS1,B1-308,38,CO3137,20
2025-12-18,13g00,CS1,B1-308,38,EE2033,15
2025-12-18,13g00,CS1,B1-308,38,EE2401,3
