COURSE ID,ROOM ID,DATE,TIME,CAMPUS,STUDENTS,CAPACITY,KEY,EXAM CAPACITY
PH2005,B6-303,17/12/25,07g00,1,30,60,17/12/2025_07g00_1,32
PH2005,B6-304,17/12/25,07g00,1,30,60,17/12/2025_07g00_1,32
PH2005,B6-305,17/12/25,07g00,1,30,60,17/12/2025_07g00_1,32
PH2005,B6-306,17/12/25,07g00,1,35,80,17/12/2025_07g00_1,42
SP1007,B1-203,17/12/25,07g00,1,26,60,17/12/2025_07g00_1,32
SP1007,B1-208,17/12/25,07g00,1,43,84,17/12/2025_07g00_1,44
SP1007,B1-212,17/12/25,07g00,1,31,72,17/12/2025_07g00_1,38
SP1007,B1-213,17/12/25,07g00,1,31,72,17/12/2025_07g00_1,38
SP1007,B1-301,17/12/25,07g00,1,30,56,17/12/2025_07g00_1,30
SP1007,B1-302,17/12/25,07g00,1,30,56,17/12/2025_07g00_1,30
SP1007,B1-303,17/12/25,07g00,1,30,56,17/12/2025_07g00_1,30
SP1007,B1-305,17/12/25,07g00,1,30,72,17/12/2025_07g00_1,38
SP1007,B1-306,17/12/25,07g00,1,42,84,17/12/2025_07g00_1,44
SP1007,B1-308,17/12/25,07g00,1,30,72,17/12/2025_07g00_1,38
SP1007,B1-309,17/12/25,07g00,1,30,56,17/12/2025_07g00_1,30
SP1007,B1-311,17/12/25,07g00,1,33,80,17/12/2025_07g00_1,42
SP1007,B1-313,17/12/25,07g00,1,30,56,17/12/2025_07g00_1,30
SP1007,B1-314,17/12/25,07g00,1,30,56,17/12/2025_07g00_1,30
SP1007,B1-315,17/12/25,07g00,1,30,56,17/12/2025_07g00_1,30
TR4047,B4-402,17/12/25,07g00,1,25,60,17/12/2025_07g00_1,32
TR4081,B4-401,17/12/25,07g00,1,30,60,17/12/2025_07g00_1,32
TR4089,B4-301,17/12/25,07g00,1,30,60,17/12/2025_07g00_1,32
TR4089,B4-302,17/12/25,07g00,1,15,60,17/12/2025_07g00_1,32
CI1003,C6-102,17/12/25,13g00,1,24,100,17/12/2025_13g00_1,50
CI2095,B8-301,17/12/25,13g00,1,31,66,17/12/2025_13g00_1,35
CI2095,C5-302,17/12/25,13g00,1,26,50,17/12/2025_13g00_1,26
