KEY,DATE,TIME,CAMPUS,TARGET ROOM,EXAM CAPACITY,TOTAL STUDENTS,COURSES MERGED
03/01/2026_09g30_2,,09g30,CS2,H6-211,66,40,SP1035(40)
03/01/2026_09g30_2,,09g30,CS2,H6-212,42,40,SP1035(40)
03/01/2026_09g30_2,,09g30,CS2,H6-213,42,40,SP1035(40)
03/01/2026_09g30_2,,09g30,CS2,H6-214,42,40,SP1035(40)
03/01/2026_09g30_2,,09g30,CS2,H6-305,68,40,SP1035(40)
03/01/2026_09g30_2,,09g30,CS2,H6-308,76,40,SP1035(40)
03/01/2026_09g30_2,,09g30,CS2,H6-310,42,40,SP1035(40)
03/01/2026_09g30_2,,09g30,CS2,H6-312,42,40,SP1035(40)
03/01/2026_09g30_2,,09g30,CS2,H6-313,42,40,SP1035(40)
03/01/2026_09g30_2,,09g30,CS2,H6-405,63,40,SP1035(40)
03/01/2026_09g30_2,,09g30,CS2,H6-411,42,40,SP1035(40)
03/01/2026_09g30_2,,09g30,CS2,H6-412,65,40,SP1035(40)
03/01/2026_09g30_2,,09g30,CS2,H6-413,42,40,SP1035(40)
03/01/2026_09g30_2,,09g30,CS2,H6-414,42,40,SP1035(40)
03/01/2026_09g30_2,,09g30,CS2,H6-504,56,40,SP1035(40)
03/01/2026_09g30_2,,09g30,CS2,H6-506,55,40,SP1035(40)
03/01/2026_09g30_2,,09g30,CS2,H6-510,54,40,SP1035(40)
03/01/2026_09g30_2,,09g30,CS2,H6-512,55,40,SP1035(40)
03/01/2026_09g30_2,,09g30,CS2,H6-514,57,40,SP1035(40)
03/01/2026_09g30_2,,09g30,CS2,H6-516,60,40,SP1035(40)
03/01/2026_09g30_2,,09g30,CS2,H6-802,63,40,SP1035(40)
03/01/2026_09g30_2,,09g30,CS2,H6-810,63,40,SP1035(40)
03/01/2026_09g30_2,,09g30,CS2,H6-811,79,40,SP1035(40)
03/01/2026_09g30_2,,09g30,CS2,H1-101,73,39,SP1035(39)
03/01/2026_09g30_2,,09g30,CS2,H6-109,42,39,SP1035(39)
