F_MAMH,F_TENPHMOI,NGAYTHI,GIOTHI_BD,COSO,F_SOLUONG,SUC_CHUA,KEY_CA
MT1005,B4-301,46007,09g30,1,19,60,16/12/2025_09g30_1
MT1005,B4-302,46007,09g30,1,29,60,16/12/2025_09g30_1
MT1005,B4-303,46007,09g30,1,29,60,16/12/2025_09g30_1
MT1005,B4-305,46007,09g30,1,30,80,16/12/2025_09g30_1
MT1005,B4-306,46007,09g30,1,32,80,16/12/2025_09g30_1
CO3017,B1-305,46007,13g00,1,28,72,16/12/2025_13g00_1
CO3017,B1-306,46007,13g00,1,44,84,16/12/2025_13g00_1
SP1033,B1-308,46007,13g00,1,21,72,16/12/2025_13g00_1
SP1033,B1-309,46007,13g00,1,20,56,16/12/2025_13g00_1
SP1033,B1-311,46007,13g00,1,28,80,16/12/2025_13g00_1
SP1033,B4-301,46007,13g00,1,30,60,16/12/2025_13g00_1
SP1033,B4-302,46007,13g00,1,30,60,16/12/2025_13g00_1
SP1033,B4-303,46007,13g00,1,30,60,16/12/2025_13g00_1
SP1033,B4-305,46007,13g00,1,41,80,16/12/2025_13g00_1
SP1033,B4-306,46007,13g00,1,30,80,16/12/2025_13g00_1
SP1033,B4-401,46007,13g00,1,30,60,16/12/2025_13g00_1
SP1033,B4-402,46007,13g00,1,30,60,16/12/2025_13g00_1
SP1033,B4-403,46007,13g00,1,29,60,16/12/2025_13g00_1
SP1033,B4-405,46007,13g00,1,30,60,16/12/2025_13g00_1
SP1033,B4-406,46007,13g00,1,44,108,16/12/2025_13g00_1
SP1033,B4-501,46007,13g00,1,38,80,16/12/2025_13g00_1
SP1033,B4-502,46007,13g00,1,34,80,16/12/2025_13g00_1
SP1033,B4-504,46007,13g00,1,29,60,16/12/2025_13g00_1
CH3015,B4-301,46007,15g30,1,26,60,16/12/2025_15g30_1
CH3015,B4-302,46007,15g30,1,22,60,16/12/2025_15g30_1
EE3009,B4-303,46007,15g30,1,6,60,16/12/2025_15g30_1
ME4217,B4-403,46007,15g30,1,28,60,16/12/2025_15g30_1
